date,close,volume
2018-04-25,59.37,1718726
2018-04-26,60.02,1640362
2018-04-27,60.62,1288622
2018-04-30,60.25,2872487
2018-05-01,59.75,2356743
2018-05-02,59.69,1671397
2018-05-03,58.87,1777397
2018-05-04,59.04,1828004
2018-05-07,58.73,1672394
2018-05-08,57.32,2113949
2018-05-09,57.0,1720293
2018-05-10,57.95,1289331
2018-05-11,58.04,945024
2018-05-14,57.53,2212740
2018-05-15,57.39,1494310
2018-05-16,57.44,2636959
2018-05-17,57.1,1888017
2018-05-18,57.32,1844558
2018-05-21,57.47,1741997
2018-05-22,57.78,1759153
2018-05-23,56.54,5314582
2018-05-24,56.63,2857950
2018-05-25,56.26,2806556
2018-05-29,56.81,3023588
2018-05-30,57.14,2262947
2018-05-31,57.08,2076541
2018-06-01,55.8,2536060
2018-06-04,55.5,2165188
2018-06-05,54.99,1444775
2018-06-06,53.64,2206711
2018-06-07,53.6,2194842
2018-06-08,53.56,1391096
2018-06-11,52.87,1835560
2018-06-12,53.68,2003122
2018-06-13,53.43,2293235
2018-06-14,53.99,2334064
2018-06-15,54.63,3192896
2018-06-18,55.09,2393258
2018-06-19,55.76,2132077
2018-06-20,55.81,1152725
2018-06-21,55.7,1219086
2018-06-22,56.03,2479422
2018-06-25,57.33,2908259
2018-06-26,57.55,2506328
2018-06-27,57.99,1587356
2018-06-28,58.28,1762112
2018-06-29,58.61,2556568
2018-07-02,59.02,1601755
2018-07-03,59.52,1338652
2018-07-05,59.72,2330846
2018-07-06,60.31,1562955
2018-07-09,58.46,2145945
2018-07-10,58.72,2001912
2018-07-11,59.25,1770542
2018-07-12,59.14,2399198
2018-07-13,59.14,1842550
2018-07-16,59.04,2393892
2018-07-17,58.87,1926153
2018-07-18,58.52,1478339
2018-07-19,59.16,1674637
2018-07-20,58.75,1743514
2018-07-23,58.46,1358945
2018-07-24,58.82,2083274
2018-07-25,59.34,2130877
2018-07-26,60.36,2277992
2018-07-27,60.08,1168068
2018-07-30,59.76,1863409
2018-07-31,60.72,2144391
2018-08-01,59.74,2446244
2018-08-02,60.0,1386391
2018-08-03,60.93,1328150
2018-08-06,61.09,990325
2018-08-07,60.99,1104057
2018-08-08,60.95,942686
2018-08-09,61.14,982414
2018-08-10,61.35,1192429
2018-08-13,61.75,1617152
2018-08-14,61.8,1091612
2018-08-15,62.34,1294372
2018-08-16,62.99,1773593
2018-08-17,63.24,1020590
2018-08-20,63.12,871202
2018-08-21,62.81,954560
2018-08-22,62.36,1195798
2018-08-23,62.43,727785
2018-08-24,62.76,882800
2018-08-27,62.21,1023556
2018-08-28,61.84,1302370
2018-08-29,62.18,847559
2018-08-30,62.64,1356425
2018-08-31,62.43,1291877
2018-09-04,62.42,1314052
2018-09-05,63.38,952951
2018-09-06,63.51,1061598
2018-09-07,62.81,1187784
2018-09-10,63.3,1032355
2018-09-11,63.27,1048249
2018-09-12,63.21,1276066
2018-09-13,63.61,868611
2018-09-14,63.53,1120056
2018-09-17,63.77,984024
2018-09-18,63.64,807736
2018-09-19,62.03,1391851
2018-09-20,61.77,1265522
2018-09-21,62.16,2685832
2018-09-24,61.48,1131276
2018-09-25,60.68,1484385
2018-09-26,60.2,1511490
2018-09-27,60.56,1072415
2018-09-28,61.44,1697432
2018-10-01,61.52,927810
2018-10-02,62.16,1177684
2018-10-03,61.09,1472961
2018-10-04,61.54,906896
2018-10-05,62.4,1493827
2018-10-08,62.83,1316235
2018-10-09,63.36,1440803
2018-10-10,63.04,1841909
2018-10-11,61.68,2396188
2018-10-12,61.52,1660604
2018-10-15,61.37,1615946
2018-10-16,61.96,1769940
2018-10-17,62.49,1930510
2018-10-18,62.18,1654437
2018-10-19,63.33,1300449
2018-10-22,63.2,1147057
2018-10-23,63.3,1541989
2018-10-24,64.87,1483278
2018-10-25,63.67,1691233
2018-10-26,62.77,1627740
2018-10-29,63.93,1045786
2018-10-30,64.03,1459003
2018-10-31,63.26,1839121
2018-11-01,62.69,1583802
2018-11-02,62.19,2104473
2018-11-05,62.92,1459315
2018-11-06,63.47,733599
2018-11-07,64.38,1149953
2018-11-08,64.54,1317102
2018-11-09,65.14,1222327
2018-11-12,65.48,1042186
2018-11-13,65.77,1376941
2018-11-14,65.43,1609085
2018-11-15,66.2,2197051
2018-11-16,67.04,2033169
2018-11-19,67.38,2452488
2018-11-20,67.64,2193259
2018-11-21,66.42,1605205
2018-11-23,66.82,1142824
2018-11-26,66.8,1934844
2018-11-27,67.45,2282196
2018-11-28,67.43,1859449
2018-11-29,67.07,2004701
2018-11-30,68.34,3012085
2018-12-03,68.74,1955487
2018-12-04,68.95,2665370
2018-12-06,69.14,2344718
2018-12-07,69.46,1287645
2018-12-10,69.64,1809505
2018-12-11,70.17,1460882
2018-12-12,69.45,2220602
2018-12-13,70.23,1826112
2018-12-14,69.77,1784263
2018-12-17,67.25,2151362
2018-12-18,67.06,1838543
2018-12-19,67.29,1776869
2018-12-20,67.17,2050410
2018-12-21,66.47,3747023
2018-12-24,63.38,871292
2018-12-26,64.24,1157034
2018-12-27,64.78,2316563
2018-12-28,64.67,1095873
2018-12-31,65.04,1492097
2019-01-02,63.49,1493351
2019-01-03,63.45,1272058
2019-01-04,64.09,1365894
2019-01-07,63.93,1211216
2019-01-08,65.1,1479265
2019-01-09,64.75,1483888
2019-01-10,66.05,1660335
2019-01-11,65.99,1301369
2019-01-14,65.58,2219364
2019-01-15,66.41,1484402
2019-01-16,66.66,2177074
2019-01-17,67.28,1595515
2019-01-18,67.67,1556937
2019-01-22,67.49,1780855
2019-01-23,68.3,1284279
2019-01-24,68.46,1582068
2019-01-25,67.28,1236313
2019-01-28,67.11,1549033
2019-01-29,67.35,1490087
2019-01-30,67.58,1515917
2019-01-31,69.41,3903590
2019-02-01,69.14,1840393
2019-02-04,69.02,1790279
2019-02-05,69.31,1305932
2019-02-06,69.02,1109574
2019-02-07,70.02,1597191
2019-02-08,70.05,2071558
2019-02-11,70.15,1509112
2019-02-12,70.28,1252278
2019-02-13,70.06,1412398
2019-02-14,70.1,1735010
2019-02-15,70.2,1582001
2019-02-19,70.4,1472477
2019-02-20,70.27,2142491
2019-02-21,70.53,3050083
2019-02-22,70.3,2452897
2019-02-25,69.37,2706333
2019-02-26,69.66,2623046
2019-02-27,69.66,1333469
2019-02-28,69.81,2261436
2019-03-01,69.74,2684368
2019-03-04,68.97,2297369
2019-03-05,68.59,2024700
2019-03-06,69.07,1921115
2019-03-07,69.39,2173720
2019-03-08,69.68,1800625
2019-03-11,70.28,1904629
2019-03-12,70.51,1976598
2019-03-13,70.6,1385521
2019-03-14,70.92,1977761
2019-03-15,71.73,6916662
2019-03-18,71.26,2107962
2019-03-19,70.2,1690452
2019-03-20,70.22,2145947
2019-03-21,70.86,1386527
2019-03-22,71.69,1482653
2019-03-25,71.77,1579553
2019-03-26,71.95,1103757
2019-03-27,71.23,1511727
2019-03-28,70.34,1642575
2019-03-29,70.95,2487799
2019-04-01,70.68,2113279
