date,close,volume
2018-04-25,77.36,5583100
2018-04-26,77.6,3672126
2018-04-27,77.04,2901688
2018-04-30,77.26,3742391
2018-05-01,76.58,3895045
2018-05-02,76.83,3978290
2018-05-03,77.29,4773167
2018-05-04,77.71,2975010
2018-05-07,77.28,5105419
2018-05-08,78.2,7159965
2018-05-09,82.4,11029957
2018-05-10,83.86,5741221
2018-05-11,84.97,6621328
2018-05-14,84.89,6459553
2018-05-15,84.27,4637342
2018-05-16,84.26,5235656
2018-05-17,86.16,4935457
2018-05-18,85.42,3498594
2018-05-21,85.79,5806073
2018-05-22,84.95,3827440
2018-05-23,85.33,3507337
2018-05-24,83.86,3319344
2018-05-25,82.4,4152080
2018-05-29,81.83,4130632
2018-05-30,84.07,3781020
2018-05-31,84.2,4861137
2018-06-01,85.1,4940156
2018-06-04,85.36,4312027
2018-06-05,85.51,6391030
2018-06-06,86.46,6534344
2018-06-07,86.48,7228953
2018-06-08,85.47,5533220
2018-06-11,86.15,5813427
2018-06-12,84.93,6053580
2018-06-13,84.33,4401642
2018-06-14,84.35,3675563
2018-06-15,83.33,7476915
2018-06-18,83.79,5247191
2018-06-19,82.58,5426962
2018-06-20,83.24,4452497
2018-06-21,82.09,4997353
2018-06-22,83.33,5699085
2018-06-25,81.35,3780329
2018-06-26,82.68,3925592
2018-06-27,83.77,5131817
2018-06-28,83.4,3507099
2018-06-29,83.68,3849695
2018-07-02,82.52,3091306
2018-07-03,83.86,2978893
2018-07-05,84.19,3670183
2018-07-06,84.25,2801072
2018-07-09,85.25,3001602
2018-07-10,85.7,4601458
2018-07-11,83.93,5109416
2018-07-12,84.56,4694091
2018-07-13,83.64,4723923
2018-07-16,82.53,3661671
2018-07-17,82.69,3476131
2018-07-18,82.96,3827000
2018-07-19,82.98,3495475
2018-07-20,83.08,3147194
2018-07-23,82.45,3328216
2018-07-24,83.46,7053068
2018-07-25,84.33,4623224
2018-07-26,84.16,4169160
2018-07-27,83.47,2787348
2018-07-30,83.31,3198908
2018-07-31,83.93,5069944
2018-08-01,82.64,3417586
2018-08-02,82.24,3355720
2018-08-03,82.29,3281573
2018-08-06,82.3,3224184
2018-08-07,81.94,3933400
2018-08-08,81.2,4539360
2018-08-09,77.79,14625180
2018-08-10,78.78,8380585
2018-08-13,78.14,6056022
2018-08-14,79.66,5701555
2018-08-15,76.93,6489462
2018-08-16,78.02,5470610
2018-08-17,78.55,4795120
2018-08-20,79.01,3119024
2018-08-21,78.89,3282375
2018-08-22,79.33,2948908
2018-08-23,78.98,2313636
2018-08-24,79.34,2580762
2018-08-27,80.21,2242062
2018-08-28,80.11,3173182
2018-08-29,80.23,3149751
2018-08-30,80.13,3216602
2018-08-31,79.87,3227761
2018-09-04,79.27,5131583
2018-09-05,79.14,3851040
2018-09-06,77.57,4084214
2018-09-07,76.65,3317648
2018-09-10,76.88,2732136
