date,close,volume
2018-04-25,65.8,4451605
2018-04-26,66.37,1978569
2018-04-27,66.28,1189195
2018-04-30,65.74,2277705
2018-05-01,66.24,3135146
2018-05-02,65.91,2240482
2018-05-03,66.34,2365851
2018-05-04,67.0,1331017
2018-05-07,67.39,1468735
2018-05-08,67.37,1916103
2018-05-09,68.13,2108506
2018-05-10,68.86,1844868
2018-05-11,69.45,1524184
2018-05-14,69.21,3322635
2018-05-15,62.5,14451191
2018-05-16,61.94,5872508
2018-05-17,63.59,5211271
2018-05-18,64.32,4163534
2018-05-21,65.55,4527295
2018-05-22,64.84,3415571
2018-05-23,64.53,3222446
2018-05-24,64.12,1525894
2018-05-25,63.15,1742002
2018-05-29,61.85,3559198
2018-05-30,62.69,1731482
2018-05-31,61.92,2510357
2018-06-01,62.78,2277946
2018-06-04,63.38,1958048
2018-06-05,63.52,1889520
2018-06-06,65.19,3177630
2018-06-07,65.23,2977186
2018-06-08,65.73,3853848
2018-06-11,66.13,3316711
2018-06-12,66.32,2006950
2018-06-13,66.26,4357708
2018-06-14,66.31,3487894
2018-06-15,66.13,4113230
2018-06-18,64.97,2563129
2018-06-19,63.52,4621382
2018-06-20,62.79,4942091
2018-06-21,63.04,4319387
2018-06-22,62.79,3621863
2018-06-25,61.2,2426792
2018-06-26,61.98,3655622
2018-06-27,61.14,2025823
2018-06-28,61.29,1564067
2018-06-29,61.84,1942768
2018-07-02,61.47,1526468
2018-07-03,61.25,864379
2018-07-05,61.8,2247532
2018-07-06,62.29,2269660
2018-07-09,63.12,1508550
2018-07-10,63.67,1924366
2018-07-11,62.86,1780485
2018-07-12,63.45,1748125
2018-07-13,63.38,963652
2018-07-16,62.72,929264
2018-07-17,63.04,1469834
2018-07-18,62.99,1202284
2018-07-19,64.15,1726698
2018-07-20,63.85,1620195
2018-07-23,63.72,1417517
2018-07-24,64.79,2454398
2018-07-25,65.96,2924515
2018-07-26,66.75,2583476
2018-07-27,65.75,2638902
2018-07-30,64.63,1601219
2018-07-31,66.04,2539265
2018-08-01,64.98,2679180
2018-08-02,65.29,2263190
2018-08-03,65.73,1857308
2018-08-06,66.51,2873080
2018-08-07,67.66,2829039
2018-08-08,67.38,1682000
2018-08-09,66.69,1727776
2018-08-10,66.26,2166251
2018-08-13,65.94,2989306
2018-08-14,66.75,3110109
2018-08-15,64.73,6071456
2018-08-16,65.5,3149532
2018-08-17,64.66,2449200
2018-08-20,64.47,1619930
2018-08-21,64.93,2982791
2018-08-22,65.65,2565558
2018-08-23,65.69,2287703
2018-08-24,65.98,1904191
2018-08-27,66.08,1158772
2018-08-28,66.69,2284317
2018-08-29,67.01,1852130
2018-08-30,67.26,2246705
2018-08-31,67.54,1582405
2018-09-04,67.27,1727990
2018-09-05,66.96,1859604
2018-09-06,67.36,1031539
2018-09-07,67.4,1585499
2018-09-10,67.93,2065707
2018-09-11,67.62,1676778
2018-09-12,67.91,1125411
2018-09-13,69.33,2495037
2018-09-14,68.85,1461065
2018-09-17,69.08,1816610
2018-09-18,68.93,1780417
2018-09-19,69.56,1183395
2018-09-20,71.13,2865626
2018-09-21,70.72,3119673
2018-09-24,69.95,2333572
2018-09-25,70.38,2090165
2018-09-26,70.33,1830443
2018-09-27,70.8,1581665
2018-09-28,70.54,2248094
2018-10-01,71.26,2837493
2018-10-02,71.68,2617455
2018-10-03,72.12,3203130
2018-10-04,70.66,2961931
2018-10-05,70.3,2376806
2018-10-08,69.5,2179365
2018-10-09,69.41,2179198
2018-10-10,66.67,3055653
2018-10-11,64.89,3624612
2018-10-12,66.24,3669509
2018-10-15,65.63,1602860
2018-10-16,67.46,1868279
2018-10-17,67.2,1991212
2018-10-18,65.75,2327330
2018-10-19,64.47,2418302
2018-10-22,64.28,2227932
2018-10-23,62.73,4219761
2018-10-24,61.13,3481246
2018-10-25,62.61,3318277
2018-10-26,62.73,3119947
2018-10-29,62.08,2919874
2018-10-30,63.64,3076720
2018-10-31,64.79,3820987
2018-11-01,65.22,1882438
2018-11-02,65.93,2272114
2018-11-05,65.91,2348704
2018-11-06,65.98,2287255
2018-11-07,68.26,2700613
2018-11-08,67.79,2444607
2018-11-09,67.27,2573534
2018-11-12,64.5,2999960
2018-11-13,64.34,2216456
2018-11-14,63.47,4852556
2018-11-15,64.72,3846090
2018-11-16,64.99,2963305
2018-11-19,62.61,3392057
2018-11-20,67.52,8187326
2018-11-21,67.72,3557551
2018-11-23,68.21,1374274
2018-11-26,69.25,2406265
2018-11-27,69.36,2533581
2018-11-28,71.48,2661339
2018-11-29,71.57,2625819
2018-11-30,72.35,2279473
2018-12-03,74.67,4265221
2018-12-04,72.91,4263802
2018-12-06,71.91,3505914
2018-12-07,70.25,2184502
2018-12-10,70.59,2347157
2018-12-11,71.05,2926016
2018-12-12,71.75,2842861
2018-12-13,71.14,2200718
2018-12-14,69.36,1982726
2018-12-17,67.85,2241705
2018-12-18,67.99,2111981
2018-12-19,66.83,2845468
2018-12-20,65.19,3547814
2018-12-21,63.29,4683100
2018-12-24,62.67,1668490
2018-12-26,65.54,1701769
2018-12-27,66.48,1655033
2018-12-28,65.96,1927748
2018-12-31,67.46,1572136
2019-01-02,65.69,2113304
2019-01-03,63.27,5383926
2019-01-04,65.46,3123654
2019-01-07,66.85,3235055
2019-01-08,67.83,1578055
2019-01-09,69.25,2442291
2019-01-10,69.9,1080882
2019-01-11,70.38,1210791
2019-01-14,69.75,2182673
2019-01-15,70.6,1793061
2019-01-16,70.03,1480321
2019-01-17,70.82,1225840
2019-01-18,71.93,1551657
2019-01-22,71.32,1972650
2019-01-23,71.65,2050294
2019-01-24,72.18,1509599
2019-01-25,73.65,2215271
2019-01-28,73.27,1729625
2019-01-29,73.56,1684521
2019-01-30,75.44,1679472
2019-01-31,76.05,2951321
2019-02-01,76.04,1343915
2019-02-04,76.03,2245893
2019-02-05,76.31,1593537
2019-02-06,76.3,1504860
2019-02-07,75.33,1660637
2019-02-08,75.8,1318051
2019-02-11,76.08,1018208
2019-02-12,77.07,2045501
2019-02-13,77.25,1376358
2019-02-14,77.02,1618269
2019-02-15,78.3,1919672
2019-02-19,77.52,2967968
2019-02-20,78.56,2076523
2019-02-21,77.89,3570828
2019-02-22,78.42,2797669
2019-02-25,79.34,1878041
2019-02-26,78.55,1992595
2019-02-27,79.42,1254403
2019-02-28,79.44,1759103
2019-03-01,81.24,1625899
2019-03-04,80.13,3204122
