date,close,volume
2018-04-25,19.1,1
2018-04-26,19.1,8
2018-04-27,19.0,216
2018-04-30,19.05,1001
2018-05-01,19.15,1025
2018-05-02,19.15,99
2018-05-03,19.15,43
2018-05-04,19.15,15
2018-05-07,19.11,1740
2018-05-08,19.11,1
2018-05-09,19.2,381
2018-05-10,19.3,752
2018-05-11,19.3,0
2018-05-14,19.2,5337
2018-05-15,19.26,661
2018-05-16,19.4,109
2018-05-17,19.4,9
2018-05-18,19.5,529
2018-05-21,19.5,25
2018-05-22,19.55,105
2018-05-23,19.55,54
2018-05-24,19.55,0
2018-05-25,19.75,100
2018-05-29,19.55,1312
2018-05-30,19.95,100
2018-05-31,19.95,0
2018-06-01,19.88,235
2018-06-04,19.88,0
2018-06-05,19.95,321
2018-06-06,20.0,1781
2018-06-07,20.0,100
2018-06-08,19.95,7870
2018-06-11,20.0,2505
2018-06-12,20.0,1121
2018-06-13,19.95,152
2018-06-14,19.95,108
2018-06-15,20.25,140
2018-06-18,20.5,100
2018-06-19,20.75,100
2018-06-20,20.75,0
2018-06-21,20.35,100
2018-06-22,20.35,0
2018-06-25,20.35,0
2018-06-26,20.35,0
2018-06-27,20.35,0
2018-06-28,20.15,246
2018-06-29,20.15,0
2018-07-02,20.15,50
2018-07-03,20.15,0
2018-07-05,20.25,1110
2018-07-06,20.25,30
2018-07-09,20.3,1000
2018-07-10,20.3,0
2018-07-11,20.3,0
2018-07-12,20.3,0
2018-07-13,20.3,0
2018-07-16,21.5,3789
2018-07-17,21.5,1700
2018-07-18,21.5,0
2018-07-19,21.5,13
2018-07-20,21.5,11
2018-07-23,21.5,0
2018-07-24,21.49,200
2018-07-25,21.75,300
2018-07-26,23.5,1100
2018-07-27,22.5,680
2018-07-30,22.5,48
2018-07-31,22.0,1675
2018-08-01,22.0,150
2018-08-02,22.0,100
2018-08-03,22.0,1560
2018-08-06,22.0,600
2018-08-07,21.95,100
2018-08-08,21.95,229
2018-08-09,21.95,0
2018-08-10,22.0,100
2018-08-13,22.0,801
2018-08-14,22.0,0
2018-08-15,22.0,0
2018-08-16,22.0,0
2018-08-17,21.95,452
2018-08-20,21.95,0
2018-08-21,21.95,0
2018-08-22,21.75,2634
2018-08-23,21.75,56
2018-08-24,21.75,0
2018-08-27,21.75,560
2018-08-28,21.25,601
2018-08-29,21.75,200
2018-08-30,21.75,300
2018-08-31,21.75,64
2018-09-04,21.6,15000
2018-09-05,21.5,2200
2018-09-06,21.65,2100
2018-09-07,21.75,18300
2018-09-10,21.7,1494
2018-09-11,21.62,2733
2018-09-12,21.62,63
2018-09-13,21.62,6
2018-09-14,21.62,104
2018-09-17,22.0,151
2018-09-18,22.0,0
2018-09-19,22.0,18
2018-09-20,22.0,292
2018-09-21,21.75,555
2018-09-24,21.8,10
2018-09-25,21.8,300
2018-09-26,21.8,1677
2018-09-27,21.8,0
2018-09-28,21.5,15300
2018-10-01,21.45,300
2018-10-02,21.3,600
2018-10-03,21.45,75123
2018-10-04,21.45,0
2018-10-05,21.45,515
2018-10-08,22.0,250
2018-10-09,21.35,530
2018-10-10,21.35,4034
2018-10-11,21.35,3676
2018-10-12,21.25,2141
2018-10-15,20.9,1045
2018-10-16,20.75,5539
2018-10-17,20.7,515
2018-10-18,20.3,4976
2018-10-19,20.3,0
2018-10-22,20.0,14039
2018-10-23,20.05,1800
2018-10-24,20.0,10200
2018-10-25,20.0,0
2018-10-26,19.75,1100
2018-10-29,19.75,2100
2018-10-30,19.75,941
2018-10-31,19.7,1482
2018-11-01,19.7,0
2018-11-02,19.7,0
2018-11-05,19.7,0
2018-11-06,19.55,10388
2018-11-07,19.55,0
2018-11-08,19.64,100
2018-11-09,19.45,2578
2018-11-12,19.3,869
2018-11-13,19.49,6000
2018-11-14,19.45,761
2018-11-15,19.35,28978
2018-11-16,19.35,0
2018-11-19,19.3,1400
2018-11-20,19.35,1368
2018-11-21,19.35,0
2018-11-23,19.35,0
2018-11-26,19.32,4198
2018-11-27,19.25,4244
2018-11-28,19.25,0
2018-11-29,19.25,0
2018-11-30,19.35,1493
2018-12-03,19.3,314
2018-12-04,19.35,2121
2018-12-06,19.35,2879
2018-12-07,19.35,0
2018-12-10,18.5,5050
2018-12-11,18.45,2775
2018-12-12,18.5,7720
2018-12-13,18.41,108
2018-12-14,18.99,932
2018-12-17,18.18,101
2018-12-18,18.94,200
2018-12-19,18.94,0
2018-12-20,18.31,142
2018-12-21,18.0,1400
2018-12-24,18.0,0
2018-12-26,18.0,0
2018-12-27,18.25,500
2018-12-28,19.0,900
2018-12-31,19.4,13645
2019-01-02,19.4,0
2019-01-03,18.5,500
2019-01-04,19.0,2039
2019-01-07,18.09,1905
2019-01-08,18.09,100
2019-01-09,18.3,200
2019-01-10,18.3,600
2019-01-11,18.3,0
2019-01-14,18.4,123
2019-01-15,18.1,600
2019-01-16,18.1,0
2019-01-17,18.2,1256
2019-01-18,19.0,1495
2019-01-22,19.0,0
2019-01-23,19.25,4273
2019-01-24,19.25,0
2019-01-25,19.25,700
2019-01-28,19.25,193
2019-01-29,19.5,3600
2019-01-30,19.5,0
2019-01-31,19.5,100
2019-02-01,19.49,13982
2019-02-04,19.45,8883
2019-02-05,19.45,5000
2019-02-06,19.45,0
2019-02-07,19.45,96
2019-02-08,19.45,10096
2019-02-11,19.55,620
2019-02-12,19.55,0
2019-02-13,19.55,0
2019-02-14,19.55,0
2019-02-15,19.95,12885
2019-02-19,19.95,600
2019-02-20,19.95,16
2019-02-21,20.0,6443
2019-02-22,20.15,300
2019-02-25,20.25,3200
2019-02-26,20.25,0
2019-02-27,20.25,0
2019-02-28,20.25,790
2019-03-01,20.25,0
2019-03-04,20.25,3212
2019-03-05,20.25,0
2019-03-06,20.1,2000
2019-03-07,20.0,600
2019-03-08,20.0,0
2019-03-11,20.0,0
2019-03-12,20.0,200
2019-03-13,20.0,85
2019-03-14,19.99,1613
2019-03-15,20.2,625
2019-03-18,20.0,502
2019-03-19,20.0,0
2019-03-20,20.0,0
2019-03-21,20.0,100
2019-03-22,19.75,404
2019-03-25,20.2,100
2019-03-26,20.2,0
2019-03-27,20.2,0
2019-03-28,20.2,800
2019-03-29,20.2,0
2019-04-01,20.2,0
2019-04-02,20.2,0
2019-04-03,20.2,0
2019-04-04,20.2,0
